Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,How often do you use the internet for work or personal activities?,Which devices do you use regularly?,How would you rate your cybersecurity knowledge based on your experience and security habits?.Rate your cybersecurity knowledge.,Which of the following is the most secure way to create a password?,"Have you ever been a victim of a cyber threat (e.g., phishing, hacked account, identity theft)?",If you choose yes above: What type of cyber threat did you experience?,Which of the following do you think are cybersecurity threats?,How have you learned about Cyber Security?,How do you typically create your passwords?,How often do you update your passwords?,"If you don’t update passwords regularly, why not?",Do you enable Two-Factor Authentication (2FA) on any accounts for extra security?,"If you receive a suspicious email, what is your first reaction?",How often do you read privacy policies before accepting them?,"If a pop-up warns you about a security risk, what would you do?",What are the main reasons people fall for cyber scams?,Why do you think people fall for cyber scams?,What makes you trust a website or online service?,Did you know AI tools can analyze cybersecurity risks?,"Would you use an AI-powered assistant to explain cybersecurity threats in simple terms? 
","Have you ever used AI tools (e.g., ChatGPT, Gemini, DeepSeek) for cybersecurity advice?","What concerns, if any, do you have about AI for Cyber Security?","If an AI could help you improve your cybersecurity knowledge, how would you like it to assist you?",What is the biggest challenge in learning cybersecurity?,Would you like to be updated on the results of this project?,Please enter your email if you’d like to receive updates.,"Is there anything missing from this survey or anything you would like to add about cybersecurity awareness? 
"
117,3/5/2025 23:48,3/5/2025 23:54,anonymous,,25-34,Education,Daily,"Smartphone;Laptop;Tablet;Smart home devices (Alexa, Google Home, etc.)",Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Identity theft,All of the above,"News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts,Only when required,I don’t think it’s necessary,Yes,Ignore it,Sometimes,Close it immediately;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Maybe,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts", I don’t know where to start,Yes,,
118,3/6/2025 7:01,3/6/2025 7:10,anonymous,,25-34,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Use a password manager,Only when required,"I use a password manager, so I don’t need to",Yes,Ignore it,Never,I don’t know,They don’t recognize the scam,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions;Step-by-step guides",Cyber Security is too technical and complex,No,,
119,3/6/2025 9:00,3/6/2025 9:03,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,All of the above,"Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts,Never,Takes too much time,Yes,Ignore it,Never,Ignore it and continue,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,No,Yes,Yes,"No concerns, I fully trust AI","Real-time alerts for security threats (e.g., phishing, data breaches);Short educational videos explaining security concepts",I don’t have time to learn,Yes,,
120,3/6/2025 9:08,3/6/2025 9:11,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Hacked account;Data breach,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Ignore it;Report it;Depends on the sender;Verify sender details before taking action,Rarely,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI won’t be useful—I’d rather rely on my own judgment,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time);Step-by-step guides",Cyber Security is too technical and complex,No,,
121,3/6/2025 9:15,3/6/2025 9:19,anonymous,,45-54,Retail/Hospitality,Daily,Smartphone;Laptop;Desktop computer,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Phishing,AI-driven cyber attacks,News & articles,Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Report it,Rarely,Read carefully before taking action,Scammers are getting more convincing,,,No,No,No,AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,
122,3/6/2025 9:29,3/6/2025 9:33,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Some ,Writing down passwords in a notebook so you don’t forget them.,No,,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above,"Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account,Only when required,I forget to update my passwords,Yes,Ignore it,Rarely,Close it immediately,They don’t recognize the scam;They don’t think cybersecurity is important,,,No,No,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,I do not like AI, I don’t know where to start,No,,N/A
123,3/6/2025 9:31,3/6/2025 9:37,anonymous,,45-54,Retired,Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,"Social media (TikTok, Twitter, Instagram, etc.);News & articles",Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Ignore it,Rarely,Read carefully before taking action;Close it immediately,They don’t recognize the scam;They trust emails or messages that seem urgent;They are in a rush and don’t double-check,,,No,Maybe,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,"Real-time alerts for security threats (e.g., phishing, data breaches)",Cyber Security is too technical and complex,No,,
124,3/6/2025 9:57,3/6/2025 10:03,anonymous,,45-54,Education,Daily,Desktop computer,No knowledge ,Writing down passwords in a notebook so you don’t forget them.,No,,I’m not sure,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,I forget to update my passwords,Not sure what it is,Ignore it,Sometimes,Close it immediately,They are in a rush and don’t double-check,,,No,Yes,No, AI might make mistakes and misidentify threats,Quick answers to security questions, I don’t know where to start,No,,
125,3/6/2025 11:31,3/6/2025 11:35,anonymous,,25-34,IT/Cybersecurity professional,Daily,Smartphone;Laptop;Tablet,Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,"Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager;Create unique passwords for each account,Only when required,"I use a password manager, so I don’t need to",Yes,Report it;Verify sender details before taking action,Never,Google the warning for more info;Read carefully before taking action,Scammers are getting more convincing;They are in a rush and don’t double-check,,,Yes,Maybe,Yes,AI could collect too much personal data; AI might make mistakes and misidentify threats,"Step-by-step guides; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t have time to learn,No,,
126,3/6/2025 13:13,3/6/2025 13:20,anonymous,,18-24,Self-employed,Daily,Smartphone;Laptop,Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Hacked account;Data breach,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.)",Reuse passwords across accounts,Only when required,Takes too much time,Yes,Report it;Verify sender details before taking action;Depends on the sender,Always,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions",I think I already know enough,No,,
127,3/6/2025 13:53,3/6/2025 13:56,anonymous,,45-54,"Creative Industry (Design, Writing, Arts)",A few times a week,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,Data breach,Ransomware,Formal training at work or school,Reuse passwords across accounts,Once a year,Too difficult to remember new passwords,Not sure what it is,Ignore it,Rarely,Ignore it and continue,Scammers are getting more convincing,,,Yes,No,"I’ve used AI, but not for cybersecurity",AI could be biased and not work equally for everyone," Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t see why it’s important to me,Yes,,
128,3/6/2025 15:37,3/6/2025 15:43,anonymous,,35-44,Student,Daily,Laptop;Smartphone;Tablet,Very,Using a password manager to generate and store unique passwords.,No,,All of the above,"Formal training at work or school;News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account,Every few months,,Yes,Verify sender details before taking action,Sometimes,Close it immediately;Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam;They don’t think cybersecurity is important,,,Yes,Yes,"I’ve used AI, but not for cybersecurity",AI replacing human cybersecurity experts;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions",I think I already know enough,No,,"Maybe, those quantum computers."
129,3/6/2025 15:54,3/6/2025 15:57,anonymous,,25-34,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Identity theft;Data breach;Phishing,All of the above,Formal training at work or school,Reuse passwords across accounts,Only when required,Takes too much time,Yes,Ignore it,Never,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important,,,No,"Yes, but only if it’s interactive",Yes,"No concerns, I fully trust AI","Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",I learn best through interactive learning,No,,
130,3/6/2025 16:11,3/6/2025 16:24,anonymous,,25-34,IT/Cybersecurity professional,Daily,"Smartphone;Laptop;Desktop computer;Tablet;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,Yes,Hacked account;Data breach;Ransomware;Phishing;Identity theft;Chronical backfires,All of the above,"Professional work;Online courses (YouTube, Udemy, etc.)",Use a password manager;Create unique passwords for each account,Every few months,,Yes,Ignore it;Report it,Sometimes,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,"Yes, but only if it’s interactive",Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ",it aint,No,,
131,3/6/2025 17:45,3/6/2025 17:51,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above,Formal training at work or school,Reuse passwords across accounts,Only when required,I forget to update my passwords,No,Ignore it,Never,Ignore it and continue,They trust emails or messages that seem urgent,,,No,No,No, AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches);Step-by-step guides",I don’t see why it’s important to me,No,,
132,3/6/2025 18:34,3/6/2025 20:11,anonymous,,35-44,Retail/Hospitality,Daily,Smartphone;Laptop,Some ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,All of the above,Formal training at work or school,Reuse passwords across accounts,Only when required,Takes too much time,Yes,Ignore it,Never,Ignore it and continue;Read carefully before taking action,They don’t recognize the scam,,,No,Yes,"I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI","Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",Cyber Security is too technical and complex,No,,
133,3/7/2025 12:23,3/7/2025 12:25,anonymous,,18-24,Student,Daily,Laptop;Tablet;Smartphone,Some ,Using a password manager to generate and store unique passwords.,Not sure,,Phishing;Public WiFi risks;Weak passwords;AI-driven cyber attacks;Ransomware;All of the above,"Formal training at work or school;News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account,Every few months,I forget to update my passwords,Yes,Verify sender details before taking action,Sometimes,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check,,,No,Yes,Yes,AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,
134,3/7/2025 13:01,3/7/2025 13:05,anonymous,,45-54,Finance/Banking,Daily,Desktop computer,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,Weak passwords,Formal training at work or school,Create unique passwords for each account,Once a year,Too difficult to remember new passwords,Yes,Report it,Sometimes,Close it immediately,They don’t recognize the scam,,,No,Yes,No, AI might make mistakes and misidentify threats,Quick answers to security questions,Cyber Security is too technical and complex,No,,
135,3/7/2025 13:21,3/7/2025 13:26,anonymous,,18-24,Student,Daily,Laptop,Basic ,Writing down passwords in a notebook so you don’t forget them.,No,,All of the above,Formal training at work or school,Create unique passwords for each account,Only when required,"No reason, I just don't.",Yes,Ignore it,Never,I don’t know,They don’t recognize the scam,,,No,No,No,"No concerns, I fully trust AI",Quick answers to security questions,Not interested.,No,,
136,3/7/2025 14:24,3/7/2025 14:30,anonymous,,45-54,Self-employed,Daily,Desktop computer;Smartphone,Some ,Using a password manager to generate and store unique passwords.,No,,All of the above,News & articles,Use a password manager,Every few months,"I use a password manager, so I don’t need to",Not sure what it is,Verify sender details before taking action,Rarely,Close it immediately,Scammers are getting more convincing;They trust emails or messages that seem urgent;They don’t recognize the scam,,,Yes,Yes,"I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI",Short educational videos explaining security concepts,Cyber Security is too technical and complex,Yes,,
137,3/7/2025 17:36,3/7/2025 17:39,anonymous,,18-24,Student,Daily,Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Public WiFi risks;Weak passwords;All of the above;AI-driven cyber attacks;Ransomware,I don’t actively learn about cybersecurity;experience,Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Ignore it,Rarely,Read carefully before taking action,ignorance/ lack of knowledge,,,No,Maybe,No,AI won’t be useful—I’d rather rely on my own judgment,"Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,The surveycircle code?
138,3/7/2025 18:56,3/7/2025 18:58,anonymous,,25-34,Self-employed,Daily,Smartphone;Laptop;Tablet;Desktop computer,Some ,Using a password manager to generate and store unique passwords.,No,,Ransomware;Phishing;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above,"Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager;Create unique passwords for each account,Only when required,Takes too much time,Yes,Ignore it;Report it,Sometimes,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Yes,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts",I'm actively learning about cybersecurity,No,,
139,3/7/2025 19:21,3/7/2025 19:26,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Ignore it,Never,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI replacing human cybersecurity experts,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)", I don’t know where to start,No,,
140,3/7/2025 20:01,3/7/2025 20:05,anonymous,,18-24,Student,Daily,Laptop;Desktop computer;Smartphone,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school,Create unique passwords for each account,Only when required,Too difficult to remember new passwords,Yes,Report it;Ignore it,Never,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",Online resources are too boring or hard to understand,No,,"Cybersecurity apps that detect malware are too expensive, AI is free for everyone but I am not sure if it would be free for cybersecurity"
141,3/7/2025 20:46,3/7/2025 20:49,anonymous,,18-24,Student,Daily,Laptop;Smartphone,Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,Weak passwords;Phishing;Public WiFi risks;Ransomware,Formal training at work or school,Reuse passwords across accounts,Never,Too difficult to remember new passwords,Yes,Ignore it,Rarely,Read carefully before taking action,They don’t recognize the scam;They are in a rush and don’t double-check,,,No,Maybe,Yes, AI might make mistakes and misidentify threats,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts;Quick answers to security questions",I don’t have time to learn,No,,
142,3/7/2025 20:45,3/7/2025 20:50,anonymous,,25-34,Finance/Banking,Rarely,Laptop;Desktop computer;Tablet;Smartphone,Basic ,Using a password manager to generate and store unique passwords.,No,Hacked account;Identity theft,Public WiFi risks;Weak passwords;AI-driven cyber attacks,"Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account,Every few months,I don’t think it’s necessary,No,Ignore it;Report it,Sometimes,Ignore it and continue;Google the warning for more info,Scammers are getting more convincing;They are in a rush and don’t double-check,,,Yes,No,No,AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,"Real-time alerts for security threats (e.g., phishing, data breaches)",Cyber Security is too technical and complex,Yes,,...
143,3/7/2025 20:43,3/7/2025 20:51,anonymous,,25-34,Healthcare,Daily,Smartphone;Laptop,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,Phishing;Ransomware;AI-driven cyber attacks,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Create unique passwords for each account,Every few months,I forget to update my passwords,Yes,Ignore it;Report it,Sometimes,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important,,,No,Maybe,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data,"Step-by-step guides;Quick answers to security questions;Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I'm actively learning about cybersecurity,Yes,,
144,3/8/2025 0:59,3/8/2025 1:03,anonymous,,25-34,childcare,Daily,Laptop;Smartphone,Basic ,Using a password manager to generate and store unique passwords.,Yes,Data breach,All of the above,Friends;Formal training at work or school,Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,No,Ignore it,Rarely,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI replacing human cybersecurity experts," Hands-on simulations (e.g., recognizing phishing emails in real-time);Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions", I don’t know where to start,Yes,,
145,3/8/2025 3:00,3/8/2025 3:03,anonymous,,18-24,Student,Daily,Smartphone;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,"Social media (TikTok, Twitter, Instagram, etc.);News & articles",Create unique passwords for each account,Every few months,Too difficult to remember new passwords,Yes,Verify sender details before taking action,Rarely,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam,,,No,Maybe,No,AI could collect too much personal data,Quick answers to security questions,Online resources are too boring or hard to understand,No,,
146,3/8/2025 3:13,3/8/2025 3:18,anonymous,,25-34,Self-employed,Daily,Smartphone;Desktop computer,Good ,Writing down passwords in a notebook so you don’t forget them.,Yes,Hacked account,Ransomware;Weak passwords;Public WiFi risks,"Online courses (YouTube, Udemy, etc.);News & articles",Create unique passwords for each account,Every few months,Takes too much time,Yes,Ignore it,Always,Close it immediately,Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Yes,Yes,AI could collect too much personal data,Step-by-step guides;Cybersecurity challenges or mini-games to learn security skills. ,I learn best through interactive learning,Yes,,Awesome survey any please invite me
147,3/8/2025 5:14,3/8/2025 5:19,anonymous,,Under 18,Student,Daily,Smartphone;Laptop;Tablet,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,"I don’t actively learn about cybersecurity;Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts;Use simple/easy-to-remember passwords,Only when required,Takes too much time,Yes,Ignore it;Report it,Rarely,Read carefully before taking action;Ignore it and continue,Scammers are getting more convincing;They don’t recognize the scam;They don’t think cybersecurity is important,,,No,No,"I’ve used AI, but not for cybersecurity",AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts; AI might make mistakes and misidentify threats;AI could collect too much personal data,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ",I don’t see why it’s important to me,No,,I think a lot of people especially youth (myself included) barely know what cybersecurity above the basics learned in school or online. More education and awareness regarding the topic is probably necessary.
148,3/8/2025 5:13,3/8/2025 5:20,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Create unique passwords for each account;Reuse passwords across accounts;Use simple/easy-to-remember passwords;Use a password manager,Never,I don’t think it’s necessary,Yes,Report it;Ignore it,Never,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent;They are in a rush and don’t double-check;They don’t think cybersecurity is important,,,Yes,No,No, AI might make mistakes and misidentify threats,Step-by-step guides,Waste of time,No,,
149,3/8/2025 13:05,3/8/2025 13:12,anonymous,,25-34,Science/Research,Daily,Laptop,Good ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Not sure,,Weak passwords,"News & articles;Online courses (YouTube, Udemy, etc.)",Reuse passwords across accounts,Every few months,,Yes,Verify sender details before taking action,Always,Read carefully before taking action,Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Yes,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches)",I don’t have time to learn,No,,I think there needs a part on solutions to solve cybersecurity threats
150,3/8/2025 16:58,3/8/2025 17:00,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,All of the above,"Online courses (YouTube, Udemy, etc.)",Reuse passwords across accounts,Every few months,Too difficult to remember new passwords,Yes,Ignore it,Rarely,Close it immediately,They don’t recognize the scam,,,No,Yes,Yes, AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches)", I don’t know where to start,No,,
151,3/8/2025 16:59,3/8/2025 17:02,anonymous,,35-44,Finance/Banking,Daily,Smartphone;Laptop;Tablet,Good ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Phishing,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.)",Create unique passwords for each account,Every few months,I forget to update my passwords,Yes,Report it;Verify sender details before taking action;Ignore it,Sometimes,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts;AI won’t be useful—I’d rather rely on my own judgment,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts",Cyber Security is too technical and complex,No,,
152,3/8/2025 20:10,3/8/2025 20:12,anonymous,,18-24,Student,A few times a week,Laptop,Good ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,All of the above,Formal training at work or school,Create unique passwords for each account,Every few months,,Yes,Ignore it,Sometimes,Read carefully before taking action,They don’t recognize the scam;They trust emails or messages that seem urgent;Scammers are getting more convincing,,,Yes,No,Yes,AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,
153,3/8/2025 20:49,3/8/2025 20:56,anonymous,,25-34,Self-employed,Daily,Smartphone;Laptop,No knowledge ,Writing down passwords in a notebook so you don’t forget them.,Not sure,No,I’m not sure,News & articles,Use a password manager,Only when required,"I use a password manager, so I don’t need to",Yes,Report it,Sometimes,I don’t know,They are in a rush and don’t double-check,,,No,Maybe,"I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI",Quick answers to security questions, I don’t know where to start,Yes,,No
154,3/8/2025 22:44,3/8/2025 22:48,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Some ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Ransomware;AI-driven cyber attacks,"Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Report it,Never,Read carefully before taking action,They trust emails or messages that seem urgent;They are in a rush and don’t double-check;They don’t recognize the scam,,,No,Yes,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI won’t be useful—I’d rather rely on my own judgment;AI could collect too much personal data,"Quick answers to security questions;Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t have time to learn,No,,
155,3/9/2025 0:17,3/9/2025 0:24,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,All of the above,"Online courses (YouTube, Udemy, etc.);News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account,Once a year,"I use a password manager, so I don’t need to",Yes,Ignore it;Verify sender details before taking action,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Step-by-step guides;Short educational videos explaining security concepts;Real-time alerts for security threats (e.g., phishing, data breaches)",Cyber Security is too technical and complex,No,,None
156,3/9/2025 10:00,3/9/2025 10:01,anonymous,,18-24,Student,A few times a week,Smartphone,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Hacked account,Weak passwords;Phishing;AI-driven cyber attacks,"Online courses (YouTube, Udemy, etc.)",Create unique passwords for each account,Once a year,Takes too much time,Yes,Click the link to check what it says,Always,Read carefully before taking action,They don’t think cybersecurity is important,,,Yes,Yes,Yes,AI could collect too much personal data;AI replacing human cybersecurity experts,Step-by-step guides;Quick answers to security questions;Cybersecurity challenges or mini-games to learn security skills. ,I don’t have time to learn,Yes,,
